Wall time,Step,Value
1621267689.0225778,0,0.09650877863168716
1621268148.8861494,1,0.126290425658226
1621268594.2280362,2,0.15239277482032776
1621269037.3907483,3,0.2035965472459793
1621269548.2036,4,0.2730158269405365
1621270004.1521037,5,0.4883056581020355
1621270448.7479615,6,0.6427052617073059
1621270891.8351953,7,0.6717038154602051
1621271360.8770223,8,0.6724186539649963
1621271815.5971856,9,0.6878119111061096
1621272363.1724935,10,0.6999722123146057
1621272791.9044955,11,0.7099522948265076
1621273218.3744159,12,0.7051424980163574
1621273678.0887952,13,0.7111355066299438
1621274140.9559643,14,0.7101261615753174
1621274567.616368,15,0.7211645245552063
1621274997.6073692,16,0.7172706723213196
1621275428.713548,17,0.7255521416664124
1621275860.6558588,18,0.733881950378418
1621276299.3838704,19,0.729503870010376
1621276728.6755073,20,0.7300413250923157
1621277169.975522,21,0.7404218316078186
1621277601.6555517,22,0.7339591979980469
1621278033.789191,23,0.744088888168335
1621278469.5117643,24,0.7493546605110168
1621278912.3408577,25,0.7477887868881226
1621279344.2028632,26,0.7519801259040833
1621279778.5182955,27,0.744596540927887
1621280212.6319895,28,0.7504745125770569
1621280649.1496568,29,0.75096595287323
